Test Case,Report Source,Target Topic Requirements,PhoBERT Feedback,PhoBERT Score,Expected (Ground Truth),PhoBERT Prediction,Result,Security Flags
Ca 1,1-nghien-cuu-li-luan-ve-he-thong-quan-li-hoc-tap-truc-tuyen-lms-trong-gd-dh.pdf,"['React', 'NodeJS', 'Database', 'LMS']",Nội dung đạt yêu cầu.,5.88,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 2,2-do-an-2-he-thong-diem-danh-nhan-dien-khuon-mat-voi-rfid.pdf,"['AI', 'Python', 'Deep Learning', 'RFID']",Nội dung đạt yêu cầu.,7.57,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 3,3-do-an-mon-nhap-mon-ung-dung-di-dong-quan-ly-chi-tieu-ca-nhan-monee-23520088.pdf,"['Android', 'Java', 'Mobile App']",Nội dung đạt yêu cầu.,6.17,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 4,4-khoa-luan-tot-nghiep-xay-dung-phan-mem-quan-ly-nhan-su-sua-11213942.pdf,"['C#', '.NET', 'SQL Server']",Nội dung đạt yêu cầu.,6.15,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 5,5-de-tai-nhap-mon-khoa-hoc-du-lieu-2024-phan-tich-du-lieu-mang-xa-hoi.pdf,"['Big Data', 'Data Mining', 'Python']",Cần cải thiện: Thiếu kiến thức chuyên môn.,5.00,MATCH (1),MISMATCH (0),False Negative (FN),None
Ca 6,6-tong-hop-de-tai-khoa-luan-tot-nghiep-ve-an-toan-thong-tin-2023.pdf,"['Security', 'Network', 'Bảo mật']",Cần cải thiện: Phát hiện lặp lại 43%,4.89,MATCH (1),MISMATCH (0),False Negative (FN),Lặp lại cao (41%)
Ca 7,7-luan-van-tot-nghiep-he-thong-giam-sat-nha-kinh-thong-minh-qua-web-dh-gtvt.pdf,"['IoT', 'C++', 'Arduino']",Nội dung đạt yêu cầu.,6.04,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 8,8-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi-docker-kubernetes.pdf,"['Linux', 'Docker', 'Kubernetes', 'Microservices']",Nội dung đạt yêu cầu.,6.53,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 9,9-bao-cao-chuyen-de-lap-trinh-blockchain-he-thong-dau-gia-web.pdf,"['Blockchain', 'Solidity', 'Web3']",Nội dung đạt yêu cầu.,8.49,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
Ca 10,10-ap-dung-ai-trong-du-doan-gia-co-phieu-hpg-k23ktb-2022-2023.pdf,"['Python', 'Deep Learning', 'AI', 'Machine Learning']",Nội dung đạt yêu cầu.,5.79,MATCH (1),MATCH (1),True Positive (TP),Từ vựng nghèo
