Test Case,Report (Postman item),AI Score,Expected,Predicted,Result,Latency (ms)
Ca 1,Ca 1 - 1-nghien-cuu-li-luan-ve-he-thong-quan-li-hoc-tap-truc-tuyen-... (MATCH),6.0,MATCH,MATCH,TP,10937.5
Ca 2,Ca 2 - 2-do-an-2-he-thong-diem-danh-nhan-dien-khuon-mat-voi-rfid.pd... (MATCH),7.89,MATCH,MATCH,TP,11411.5
Ca 3,Ca 3 - 3-do-an-mon-nhap-mon-ung-dung-di-dong-quan-ly-chi-tieu-ca-nh... (MATCH),7.67,MATCH,MATCH,TP,11561.0
Ca 4,Ca 4 - 4-khoa-luan-tot-nghiep-xay-dung-phan-mem-quan-ly-nhan-su-sua... (MATCH),8.96,MATCH,MATCH,TP,8740.1
Ca 5,Ca 5 - 5-de-tai-nhap-mon-khoa-hoc-du-lieu-2024-phan-tich-du-lieu-ma... (MATCH),5.0,MATCH,MISMATCH,FN,4158.5
Ca 6,Ca 6 - 6-tong-hop-de-tai-khoa-luan-tot-nghiep-ve-an-toan-thong-tin-... (MATCH),5.35,MATCH,MISMATCH,FN,7930.3
Ca 7,Ca 7 - 7-luan-van-tot-nghiep-he-thong-giam-sat-nha-kinh-thong-minh-... (MATCH),7.52,MATCH,MATCH,TP,9433.4
Ca 8,Ca 8 - 8-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi... (MATCH),7.49,MATCH,MATCH,TP,5881.8
Ca 9,Ca 9 - 9-bao-cao-chuyen-de-lap-trinh-blockchain-he-thong-dau-gia-we... (MATCH),9.0,MATCH,MATCH,TP,7364.6
Ca 10,Ca 10 - 10-ap-dung-ai-trong-du-doan-gia-co-phieu-hpg-k23ktb-2022-202... (MATCH),6.95,MATCH,MATCH,TP,5834.0
Ca 11,Ca 11 - 11-xay-dung-ung-dung-di-dong-doc-sach-de-tai-d17ht.pdf... (MISMATCH),7.67,MISMATCH,MATCH,FP,5020.6
Ca 12,Ca 12 - 12-tieu-luan-big-data-va-ung-dung-trong-phan-tich-hanh-vi-ng... (MISMATCH),7.64,MISMATCH,MATCH,FP,7789.0
Ca 13,Ca 13 - 13-tieu-luan-mon-khoa-hoc-du-lieu-hop-dong-thong-minh-ethere... (MISMATCH),6.33,MISMATCH,MATCH,FP,6139.0
Ca 14,Ca 14 - 14-do-an-cuoi-ky-mon-thuong-mai-dien-tu-website-ban-my-pham-... (MISMATCH),7.44,MISMATCH,MATCH,FP,8324.6
Ca 15,Ca 15 - 15-k44-khoa-luan-tot-nghiep-ke-toan-doanh-thu-va-chi-phi-tai... (MISMATCH),8.66,MISMATCH,MATCH,FP,11753.9
Ca 16,Ca 16 - 16-do-an-tot-nghiep-nhan-dang-bien-so-xe-nghien-cuu-he-thong... (MISMATCH),9.0,MISMATCH,MATCH,FP,18465.0
Ca 17,Ca 17 - 17-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-1121091... (MISMATCH),8.92,MISMATCH,MATCH,FP,5560.8
Ca 18,Ca 18 - 18-de-tai-nen-tang-dat-va-giao-do-an-truc-tuyen-food-deliver... (MISMATCH),6.33,MISMATCH,MATCH,FP,3963.3
Ca 19,Ca 19 - 19-dinh-huong-va-dieu-khien-robot-di-dong-tren-co-so-gps-va-... (MISMATCH),5.0,MISMATCH,MISMATCH,TN,5806.0
Ca 20,Ca 20 - 10-du-doan-gia-co-phieu-bang-machine-learning-va-deep-learni... (MISMATCH),6.33,MISMATCH,MATCH,FP,3088.4
Ca 21,Ca 21 - 1-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-n... (MATCH),8.0,MATCH,MATCH,TP,3396.0
Ca 22,Ca 22 - 2-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-n... (MATCH),8.0,MATCH,MATCH,TP,5110.9
Ca 23,Ca 23 - 3-de-tai-bai-tap-lon-khai-pha-du-lieu-web-phan-tich-cam-xuc.... (MATCH),7.72,MATCH,MATCH,TP,4488.8
Ca 24,Ca 24 - 4-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu... (MATCH),8.91,MATCH,MATCH,TP,4927.5
Ca 25,Ca 25 - 5-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu... (MATCH),7.62,MATCH,MATCH,TP,2407.7
Ca 26,Ca 26 - 6-danh-gia-hieu-nang-he-thong-ai-chuyen-van-ban-thanh-giong-... (MATCH),8.97,MATCH,MATCH,TP,4126.1
Ca 27,Ca 27 - 7-do-an-cuoi-ky-tong-quan-ve-du-doan-luu-luong-giao-thong-th... (MISMATCH),5.0,MISMATCH,MISMATCH,TN,5391.8
Ca 28,Ca 28 - 8-do-an-tot-nghiep-ky-su-cntt-nhan-dang-sau-benh-cay-san-tre... (MATCH),7.97,MATCH,MATCH,TP,7225.9
Ca 29,Ca 29 - 9-do-an-tot-nghiep-phat-trien-he-thong-tom-tat-van-ban-tu-do... (MATCH),7.97,MATCH,MATCH,TP,15206.0
Ca 30,Ca 30 - 10-tieu-luan-nghien-cuu-khoa-hoc-ung-dung-mo-hinh-transforme... (MATCH),8.91,MATCH,MATCH,TP,11659.2
Ca 31,Ca 31 - 11-de-cuong-khoa-luan-tot-nghiep-xay-dung-website-quan-ly-ch... (MATCH),8.0,MATCH,MATCH,TP,9949.0
Ca 32,Ca 32 - 12-nghien-cuu-ung-dung-smart-contract-trong-giao-dich-dex-ta... (MATCH),8.0,MATCH,MATCH,TP,7717.3
Ca 33,Ca 33 - 13-thuc-tap-tot-nghiep-xay-dung-website-gay-quy-cong-dong-tr... (MATCH),7.94,MATCH,MATCH,TP,5109.0
Ca 34,Ca 34 - 14-nhan-thuc-ve-ung-dung-blockchain-trong-quan-ly-chuoi-cung... (MISMATCH),6.33,MISMATCH,MATCH,FP,4360.7
Ca 35,Ca 35 - 15-do-an-tot-nghiep-ct050119-ung-dung-vi-dien-tu-quan-ly-tai... (MATCH),7.89,MATCH,MATCH,TP,7203.6
