STT,Sinh viên (Kỹ năng & GPA),Đề tài (Yêu cầu kỹ năng),Nhãn thực tế (Giảng viên chấm),Điểm SBERT (match_score),Nhãn AI Dự đoán (Ngưỡng 0.75)
1,"GPA: 8.7, Kỹ năng: React, NodeJS, Lập trình Web (8.8), Hệ CSDL (10.0)","Xây dựng hệ thống quản lý học tập trực tuyến (React, NodeJS, Database)",1,0.8269,1
2,"GPA: 8.6, Kỹ năng: Trí tuệ nhân tạo (9.2), Python, Deep learning (8.8)","Nhận diện khuôn mặt sinh viên điểm danh (AI, Python, Deep Learning)",1,0.9205,1
3,"GPA: 8.2, Kỹ năng: Lập trình di động (8.2), Java, Android, Firebase","Ứng dụng di động quản lý chi tiêu cá nhân (Android, Java, Mobile App)",1,0.8571,1
4,"GPA: 8.9, Kỹ năng: Thiết kế web (9.5), Hệ cơ sở dữ liệu (10.0), PHP, MySQL","Website bán linh kiện điện tử (PHP, MySQL, Web)",1,0.8761,1
5,"GPA: 8.6, Kỹ năng: Công nghệ .NET (8.1), C#, SQL Server, Phân tích thiết kế (10.0)","Phần mềm quản lý nhân sự cho doanh nghiệp (C#, .NET, SQL Server)",1,0.8981,1
6,"GPA: 9.0, Kỹ năng: Nhập môn Big Data (9.0), Khai phá dữ liệu (9.7), Python","Phân tích dữ liệu và dự đoán xu hướng mạng xã hội (Big Data, Data Mining, Python)",1,0.9037,1
7,"GPA: 8.8, Kỹ năng: Bảo mật máy tính (9.5), An toàn mạng máy tính (8.0), Linux","Giải pháp đánh giá và bảo mật an toàn thông tin (Security, Network, Bảo mật)",1,0.8059,1
8,"GPA: 9.1, Kỹ năng: Internet of Things (9.5), C++, Arduino, Điện toán đám mây (10.0)","Hệ thống giám sát nhà kính thông minh (IoT, C++, Arduino)",1,0.7788,1
9,"GPA: 8.4, Kỹ năng: Lập trình mã nguồn mở (8.6), Linux, Docker, DevOps","Triển khai hệ thống microservices tự động (Linux, Docker, Open Source)",1,0.8639,1
10,"GPA: 8.7, Kỹ năng: Blockchain, Solidity, Web3, Phân tích thiết kế hệ thống (10.0)","Ứng dụng dApp đấu giá tài sản phi tập trung (Blockchain, Solidity, Web3)",1,0.9131,1
11,"GPA: 8.5, Kỹ năng: Thiết kế web (9.5), HTML, CSS, JavaScript","Mô hình AI dự đoán giá cổ phiếu (Python, Deep Learning, AI)",0,0.6288,0
12,"GPA: 8.9, Kỹ năng: Trí tuệ nhân tạo (9.2), Deep learning (8.8), Python","Ứng dụng di động đọc sách cho iOS (Swift, iOS, Mobile)",0,0.7136,0
13,"GPA: 8.2, Kỹ năng: Công nghệ .NET (8.1), C#, Lập trình hướng đối tượng (9.5)","Hệ thống phân tích hành vi khách hàng Big Data (Hadoop, Spark, Big Data)",0,0.6823,0
14,"GPA: 8.7, Kỹ năng: Lập trình di động (8.2), Flutter, Dart","Viết Hợp đồng thông minh Ethereum cho sàn DEX (Solidity, Web3, Smart Contract)",0,0.6366,0
15,"GPA: 9.0, Kỹ năng: Mạng máy tính (8.3), Quản trị hệ thống mạng (9.0), Cisco","Website thương mại điện tử bán mỹ phẩm (React, NodeJS, MongoDB)",0,0.5955,0
16,"GPA: 8.6, Kỹ năng: Internet of Things (9.5), Arduino, Mạch điện","Phần mềm kế toán doanh nghiệp (C#, SQL Server, WinForms)",0,0.5700,0
17,"GPA: 8.4, Kỹ năng: Blockchain, Smart Contract, Ethereum","Hệ thống nhận diện biển số xe tự động (OpenCV, Python, Machine Learning)",0,0.6247,0
18,"GPA: 9.1, Kỹ năng: Nhập môn Big Data (9.0), Khai phá dữ liệu (9.7), R","Game 2D nhập vai phiêu lưu (Unity, C#, Game Design)",0,0.5878,0
19,"GPA: 8.8, Kỹ năng: Bảo mật máy tính (9.5), An toàn mạng máy tính (8.0), Penetration Testing","Ứng dụng đặt đồ ăn giao tận nơi (React Native, Firebase, Google Maps API)",0,0.5523,0
20,"GPA: 8.5, Kỹ năng: Lập trình mã nguồn mở (8.6), PHP, Laravel","Hệ thống nhúng điều khiển robot công nghiệp (C, Embedded Systems, IoT)",0,0.6226,0
