case,name,score,expected,predicted,result,response_ms,feedback,repetition_rate,security_flags
Ca 1,Ca 1 - 1-nghien-cuu-li-luan-ve-he-thong-quan-li-hoc-tap-truc-tuyen-... (MATCH),6.0,MATCH (1),MATCH (1),True Positive (TP),11118.0,Nội dung đạt yêu cầu.,0.011,1
Ca 2,Ca 2 - 2-do-an-2-he-thong-diem-danh-nhan-dien-khuon-mat-voi-rfid.pd... (MATCH),7.89,MATCH (1),MATCH (1),True Positive (TP),11313.6,Nội dung đạt yêu cầu.,0.031,1
Ca 3,Ca 3 - 3-do-an-mon-nhap-mon-ung-dung-di-dong-quan-ly-chi-tieu-ca-nh... (MATCH),7.67,MATCH (1),MATCH (1),True Positive (TP),9354.1,Nội dung đạt yêu cầu.,0,0
Ca 4,Ca 4 - 4-khoa-luan-tot-nghiep-xay-dung-phan-mem-quan-ly-nhan-su-sua... (MATCH),8.96,MATCH (1),MATCH (1),True Positive (TP),8485.9,Nội dung đạt yêu cầu.,0.044,0
Ca 5,Ca 5 - 5-de-tai-nhap-mon-khoa-hoc-du-lieu-2024-phan-tich-du-lieu-ma... (MATCH),5.0,MATCH (1),MISMATCH (0),False Negative (FN),5923.9,Cần cải thiện: Báo cáo thiếu các kiến thức chuyên môn cốt lõi của đề tài.,0,0
Ca 6,Ca 6 - 6-tong-hop-de-tai-khoa-luan-tot-nghiep-ve-an-toan-thong-tin-... (MATCH),5.35,MATCH (1),MATCH (1),True Positive (TP),9551.0,Cần cải thiện: Phát hiện nội dung lặp lại (33%) — kiểm tra copy-paste.,0.31,2
Ca 7,Ca 7 - 7-luan-van-tot-nghiep-he-thong-giam-sat-nha-kinh-thong-minh-... (MATCH),7.52,MATCH (1),MATCH (1),True Positive (TP),10982.5,Nội dung đạt yêu cầu.,0.09,0
Ca 8,Ca 8 - 8-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi... (MATCH),7.49,MATCH (1),MATCH (1),True Positive (TP),11139.4,Nội dung đạt yêu cầu.,0.279,2
Ca 9,Ca 9 - 9-bao-cao-chuyen-de-lap-trinh-blockchain-he-thong-dau-gia-we... (MATCH),9.0,MATCH (1),MATCH (1),True Positive (TP),13282.1,Nội dung đạt yêu cầu.,0.052,1
Ca 10,Ca 10 - 10-ap-dung-ai-trong-du-doan-gia-co-phieu-hpg-k23ktb-2022-202... (MATCH),6.95,MATCH (1),MATCH (1),True Positive (TP),12175.9,Nội dung đạt yêu cầu.,0.029,1
Ca 11,Ca 11 - 11-xay-dung-ung-dung-di-dong-doc-sach-de-tai-d17ht.pdf... (MISMATCH),7.67,MISMATCH (0),MATCH (1),False Positive (FP),10355.7,Nội dung đạt yêu cầu.,0.023,0
Ca 12,Ca 12 - 12-tieu-luan-big-data-va-ung-dung-trong-phan-tich-hanh-vi-ng... (MISMATCH),7.64,MISMATCH (0),MATCH (1),False Positive (FP),10719.1,Nội dung đạt yêu cầu.,0.041,1
Ca 13,Ca 13 - 13-tieu-luan-mon-khoa-hoc-du-lieu-hop-dong-thong-minh-ethere... (MISMATCH),6.33,MISMATCH (0),MATCH (1),False Positive (FP),10236.6,Nội dung đạt yêu cầu.,0.068,0
Ca 14,Ca 14 - 14-do-an-cuoi-ky-mon-thuong-mai-dien-tu-website-ban-my-pham-... (MISMATCH),7.44,MISMATCH (0),MATCH (1),False Positive (FP),8426.2,Nội dung đạt yêu cầu.,0.087,0
Ca 15,Ca 15 - 15-k44-khoa-luan-tot-nghiep-ke-toan-doanh-thu-va-chi-phi-tai... (MISMATCH),8.66,MISMATCH (0),MATCH (1),False Positive (FP),12020.6,Nội dung đạt yêu cầu.,0.189,1
Ca 16,Ca 16 - 16-do-an-tot-nghiep-nhan-dang-bien-so-xe-nghien-cuu-he-thong... (MISMATCH),9.0,MISMATCH (0),MATCH (1),False Positive (FP),11647.3,Nội dung đạt yêu cầu.,0.081,2
Ca 17,Ca 17 - 17-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-1121091... (MISMATCH),8.92,MISMATCH (0),MATCH (1),False Positive (FP),11242.0,Nội dung đạt yêu cầu.,0.054,0
Ca 18,Ca 18 - 18-de-tai-nen-tang-dat-va-giao-do-an-truc-tuyen-food-deliver... (MISMATCH),6.33,MISMATCH (0),MATCH (1),False Positive (FP),9950.2,Nội dung đạt yêu cầu.,0.014,0
Ca 19,Ca 19 - 19-dinh-huong-va-dieu-khien-robot-di-dong-tren-co-so-gps-va-... (MISMATCH),5.0,MISMATCH (0),MISMATCH (0),True Negative (TN),14207.8,Cần cải thiện: Báo cáo thiếu các kiến thức chuyên môn cốt lõi của đề tài.,0.019,1
Ca 20,Ca 20 - 10-du-doan-gia-co-phieu-bang-machine-learning-va-deep-learni... (MISMATCH),6.33,MISMATCH (0),MATCH (1),False Positive (FP),8543.1,Nội dung đạt yêu cầu.,0,0
Ca 21,Ca 21 - 1-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-n... (MATCH),8.0,MATCH (1),MATCH (1),True Positive (TP),10447.2,Nội dung đạt yêu cầu.,0.007,0
Ca 22,Ca 22 - 2-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-n... (MATCH),8.0,MATCH (1),MATCH (1),True Positive (TP),13407.4,Nội dung đạt yêu cầu.,0.112,0
Ca 23,Ca 23 - 3-de-tai-bai-tap-lon-khai-pha-du-lieu-web-phan-tich-cam-xuc.... (MATCH),7.72,MATCH (1),MATCH (1),True Positive (TP),11882.8,Nội dung đạt yêu cầu.,0.132,2
Ca 24,Ca 24 - 4-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu... (MATCH),8.91,MATCH (1),MATCH (1),True Positive (TP),12036.9,Nội dung đạt yêu cầu.,0.067,1
Ca 25,Ca 25 - 5-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu... (MATCH),7.62,MATCH (1),MATCH (1),True Positive (TP),6622.6,Nội dung đạt yêu cầu.,0.103,0
