Test Case,Report Source,PhoBERT Score,Expected (Ground Truth),PhoBERT Prediction,Result
Ca 1,1-nghien-cuu-li-luan-ve-he-thong-quan-li-hoc-tap-truc-tuyen-lms-trong-gd-dh.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 2,2-do-an-2-he-thong-diem-danh-nhan-dien-khuon-mat-voi-rfid.pdf,7.52,MATCH (1),MATCH (1),True Positive (TP)
Ca 3,3-do-an-mon-nhap-mon-ung-dung-di-dong-quan-ly-chi-tieu-ca-nhan-monee-23520088.pdf,5.0,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 4,4-khoa-luan-tot-nghiep-xay-dung-phan-mem-quan-ly-nhan-su-sua-11213942.pdf,6.13,MATCH (1),MATCH (1),True Positive (TP)
Ca 5,5-de-tai-nhap-mon-khoa-hoc-du-lieu-2024-phan-tich-du-lieu-mang-xa-hoi.pdf,5.0,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 6,6-tong-hop-de-tai-khoa-luan-tot-nghiep-ve-an-toan-thong-tin-2023.pdf,5.18,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 7,7-luan-van-tot-nghiep-he-thong-giam-sat-nha-kinh-thong-minh-qua-web-dh-gtvt.pdf,6.02,MATCH (1),MATCH (1),True Positive (TP)
Ca 8,8-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi-docker-kubernetes.pdf,6.24,MATCH (1),MATCH (1),True Positive (TP)
Ca 9,9-bao-cao-chuyen-de-lap-trinh-blockchain-he-thong-dau-gia-web.pdf,8.5,MATCH (1),MATCH (1),True Positive (TP)
Ca 10,10-ap-dung-ai-trong-du-doan-gia-co-phieu-hpg-k23ktb-2022-2023.pdf,5.83,MATCH (1),MATCH (1),True Positive (TP)
Ca 11,11-xay-dung-ung-dung-di-dong-doc-sach-de-tai-d17ht.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 12,12-tieu-luan-big-data-va-ung-dung-trong-phan-tich-hanh-vi-nguoi-tieu-dung-its329.pdf,4.97,MISMATCH (0),MISMATCH (0),True Negative (TN)
